Date,Open,High,Low,Close,Adj Close,Volume,Company
2010-01-04,325.1000061035156,326.5,319.29998779296875,325.1499938964844,230.32376098632812,378946,TATACHEM.NS
2010-01-05,328.0,332.0,326.1000061035156,329.8999938964844,233.68849182128906,372564,TATACHEM.NS
2010-01-06,332.3500061035156,336.20001220703125,328.04998779296875,328.3999938964844,232.6259002685547,346131,TATACHEM.NS
2010-01-07,328.0,329.8999938964844,320.04998779296875,321.6000061035156,227.80909729003906,280690,TATACHEM.NS
2010-01-08,322.0,327.5,315.0,317.1000061035156,224.6215057373047,459436,TATACHEM.NS
2010-01-11,319.0,324.3500061035156,316.6000061035156,319.70001220703125,226.4631805419922,493177,TATACHEM.NS
2010-01-12,320.0,321.45001220703125,309.0,310.25,219.7691650390625,428327,TATACHEM.NS
2010-01-13,305.0,316.45001220703125,305.0,315.20001220703125,223.27554321289062,265723,TATACHEM.NS
2010-01-14,310.0,319.3999938964844,310.0,315.6000061035156,223.55894470214844,151074,TATACHEM.NS
2010-01-15,316.0,319.5,311.04998779296875,312.1499938964844,221.11509704589844,606691,TATACHEM.NS
2010-01-18,315.0,319.8999938964844,306.0,317.5,224.90484619140625,469837,TATACHEM.NS
2010-01-19,319.8999938964844,324.0,315.0,316.6000061035156,224.2672882080078,1149658,TATACHEM.NS
2010-01-20,319.75,319.75,311.0,312.95001220703125,221.68177795410156,348568,TATACHEM.NS
2010-01-21,315.0,317.45001220703125,309.0,311.0,220.30044555664062,475080,TATACHEM.NS
2010-01-22,308.6000061035156,313.6499938964844,297.04998779296875,310.6000061035156,220.0171356201172,510921,TATACHEM.NS
2010-01-25,302.1000061035156,310.45001220703125,301.5,306.1000061035156,216.82949829101562,479301,TATACHEM.NS
2010-01-27,305.0,308.6000061035156,289.25,291.3500061035156,206.3811798095703,564238,TATACHEM.NS
2010-01-28,295.04998779296875,299.6499938964844,280.5,283.1499938964844,200.57260131835938,375265,TATACHEM.NS
2010-01-29,282.79998779296875,299.70001220703125,276.04998779296875,296.8500061035156,210.2771453857422,1034264,TATACHEM.NS
2010-02-01,300.0,308.1000061035156,296.54998779296875,305.8999938964844,216.68780517578125,344871,TATACHEM.NS
2010-02-02,307.70001220703125,309.45001220703125,295.1000061035156,296.70001220703125,210.17086791992188,270664,TATACHEM.NS
2010-02-03,300.04998779296875,303.8999938964844,300.0,302.54998779296875,214.3147735595703,156459,TATACHEM.NS
2010-02-04,300.1000061035156,305.3999938964844,295.54998779296875,298.29998779296875,211.3042449951172,241081,TATACHEM.NS
2010-02-05,295.0,295.0,279.04998779296875,286.04998779296875,202.62681579589844,685783,TATACHEM.NS
2010-02-08,285.1000061035156,293.8999938964844,285.1000061035156,292.5,207.19580078125,198850,TATACHEM.NS
2010-02-09,296.0,299.6000061035156,291.0,297.3999938964844,210.666748046875,159208,TATACHEM.NS
2010-02-10,299.0,300.8500061035156,289.3999938964844,290.04998779296875,205.46026611328125,212529,TATACHEM.NS
2010-02-11,292.0,294.0,286.5,287.70001220703125,203.7956085205078,1097283,TATACHEM.NS
2010-02-15,286.0,291.70001220703125,282.0,283.29998779296875,200.67884826660156,287666,TATACHEM.NS
2010-02-16,286.0,287.0,281.0,285.95001220703125,202.55596923828125,249619,TATACHEM.NS
2010-02-17,290.0,290.0,285.0,287.45001220703125,203.61854553222656,581539,TATACHEM.NS
2010-02-18,288.0,299.3999938964844,285.95001220703125,291.79998779296875,206.69989013671875,939893,TATACHEM.NS
2010-02-19,297.0,303.3999938964844,281.8999938964844,295.8999938964844,209.6041717529297,1907164,TATACHEM.NS
2010-02-22,298.1000061035156,304.79998779296875,282.54998779296875,285.45001220703125,202.20181274414062,745210,TATACHEM.NS
2010-02-23,286.0,289.1499938964844,283.5,284.95001220703125,201.84764099121094,238825,TATACHEM.NS
2010-02-24,284.1000061035156,287.8999938964844,282.5,284.20001220703125,201.31639099121094,431693,TATACHEM.NS
2010-02-25,287.8999938964844,289.79998779296875,273.75,280.8999938964844,198.97879028320312,4982823,TATACHEM.NS
2010-02-26,278.0,295.0,278.0,288.0,204.0081329345703,797002,TATACHEM.NS
2010-03-02,290.0,292.8999938964844,284.5,285.70001220703125,202.37890625,314206,TATACHEM.NS
2010-03-03,286.5,300.8500061035156,285.6000061035156,298.95001220703125,211.7646942138672,882404,TATACHEM.NS
2010-03-04,300.0,309.0,298.54998779296875,307.8500061035156,218.06912231445312,949782,TATACHEM.NS
2010-03-05,309.29998779296875,310.3500061035156,305.5,308.0,218.1753692626953,365930,TATACHEM.NS
2010-03-08,311.0,319.3999938964844,308.0,317.70001220703125,225.04649353027344,772302,TATACHEM.NS
2010-03-09,315.3999938964844,318.45001220703125,310.0,311.54998779296875,220.69007873535156,355029,TATACHEM.NS
2010-03-10,309.95001220703125,315.1000061035156,307.29998779296875,311.70001220703125,220.79632568359375,218241,TATACHEM.NS
2010-03-11,301.6499938964844,312.6000061035156,301.6499938964844,308.54998779296875,218.56495666503906,394758,TATACHEM.NS
2010-03-12,309.0,310.70001220703125,303.1000061035156,305.1000061035156,216.12110900878906,111084,TATACHEM.NS
2010-03-15,303.25,312.75,303.0,311.75,220.83172607421875,321232,TATACHEM.NS
2010-03-16,311.75,314.8999938964844,307.1499938964844,312.8500061035156,221.61097717285156,266249,TATACHEM.NS
2010-03-17,311.25,316.79998779296875,311.25,313.79998779296875,222.28382873535156,311927,TATACHEM.NS
2010-03-18,315.0,318.0,310.04998779296875,311.45001220703125,220.6192169189453,200586,TATACHEM.NS
2010-03-19,312.0,312.0,307.0,307.95001220703125,218.13995361328125,190372,TATACHEM.NS
2010-03-22,303.29998779296875,314.6000061035156,303.29998779296875,309.75,219.41500854492188,409070,TATACHEM.NS
2010-03-23,314.8999938964844,314.8999938964844,310.1499938964844,311.54998779296875,220.69007873535156,302209,TATACHEM.NS
2010-03-25,310.04998779296875,310.04998779296875,300.1000061035156,302.5,214.27940368652344,601690,TATACHEM.NS
2010-03-26,307.70001220703125,316.1000061035156,304.20001220703125,314.1499938964844,222.5318145751953,445653,TATACHEM.NS
2010-03-29,314.95001220703125,321.0,310.54998779296875,319.79998779296875,226.53404235839844,542578,TATACHEM.NS
2010-03-30,321.79998779296875,324.0,315.5,319.8999938964844,226.60491943359375,892845,TATACHEM.NS
2010-03-31,320.0,331.8500061035156,318.25,328.1499938964844,232.4488983154297,1078434,TATACHEM.NS
2010-04-01,329.0,329.95001220703125,319.04998779296875,320.3999938964844,226.9590606689453,727386,TATACHEM.NS
2010-04-05,323.25,326.0,320.0,323.25,228.97787475585938,337201,TATACHEM.NS
2010-04-06,325.0,327.0,322.1499938964844,323.70001220703125,229.296630859375,122515,TATACHEM.NS
2010-04-07,326.8500061035156,326.8500061035156,320.5,323.1000061035156,228.87161254882812,174308,TATACHEM.NS
2010-04-08,319.6000061035156,330.0,319.6000061035156,322.75,228.62371826171875,519906,TATACHEM.NS
2010-04-09,322.20001220703125,326.5,321.0,323.8500061035156,229.40292358398438,124676,TATACHEM.NS
2010-04-12,326.5,333.0,325.25,326.25,231.10296630859375,479100,TATACHEM.NS
2010-04-13,328.0,335.75,324.0,333.6499938964844,236.3448486328125,354311,TATACHEM.NS
2010-04-15,335.0,335.79998779296875,326.0,328.3500061035156,232.59054565429688,398831,TATACHEM.NS
2010-04-16,326.0,330.79998779296875,322.0,327.0,231.63424682617188,309212,TATACHEM.NS
